Real_Estate_Id,Deeded_Acreage,Total_Sale_Price,Total_Sale_Date,Month_Year_of_Sale,Year_of_Sale,Year_Built,Year_Remodeled,Heated_Area,Num_Stories,Design_Style,Bath,Utilities,Physical_City,Physical_Zip
19,0.21,34500,1/1/74,Jan-74,1974,1964,1964,1828,One Story,Split level,2 Bath,ALL,Raleigh,27610
20,0.46,35500,5/18/83,May-83,1983,1970,1970,1240,One Story,Conventional,1 Bath,E,Raleigh,27610
22,0.46,37500,9/16/04,4-Sep,2004,1900,1900,2261,One Story,Conventional,2 Bath,WSE,Wendell,27591
25,0.96,70000,1/1/71,Jan-71,1971,1971,1971,3770,One Story,Conventional,Other,WGE,Raleigh,27613
30,0.47,380000,8/12/15,15-Aug,2015,1946,2017,1789,One Story,Conventional,2 Bath,ALL,Raleigh,27607
31,0.39,337500,7/17/02,2-Jul,2002,1970,1970,2463,One Story,Conventional,2 Bath,ALL,Raleigh,27615
33,0.5,32500,2/6/79,Feb-79,1979,1969,1969,2389,One Story,Ranch,3 Bath,WGE,Raleigh,27607
34,0.7,19500,1/1/68,Jan-68,1968,1968,1968,1280,One Story,Conventional,2 Bath,ALL,Raleigh,27606
35,0.49,319000,1/16/96,Jan-96,1996,1938,1938,4650,Two Story,Conventional,3½ Bath,ALL,Raleigh,27608
37,0.13,425000,4/15/08,8-Apr,2008,1921,1921,1890,Other,Conventional,2 Bath,ALL,Raleigh,27604
38,0.17,364000,12/19/14,14-Dec,2014,1931,1931,1500,Other,Conventional,1 ½ Bath,ALL,Raleigh,27608
39,0.28,175000,4/15/05,5-Apr,2005,1950,2006,1050,One Story,Conventional,1 Bath,ALL,Raleigh,27604
40,0.36,236000,6/2/09,9-Jun,2009,1970,1970,3000,Other,Conventional,2½ Bath,ALL,Raleigh,27609
41,0.82,71000,1/1/74,Jan-74,1974,1971,1971,3526,One Story,Conventional,2½ Bath,WGE,Raleigh,27613
42,0.17,395000,1/17/17,17-Jan,2017,1946,1946,1212,One Story,Conventional,2 Bath,ALL,Raleigh,27608
43,0.45,265000,8/7/09,9-Aug,2009,1961,1961,1512,One Story,Conventional,2 Bath,ALL,Raleigh,27609
44,0.22,78000,4/15/96,Apr-96,1996,1956,1956,840,One Story,Conventional,1 Bath,ALL,Cary,27513
46,1.03,215000,9/19/03,3-Sep,2003,1973,1973,2187,One Story,Ranch,3 Bath,ALL,Cary,27511
47,0.29,98000,7/31/96,Jul-96,1996,1956,1956,1489,One Story,Conventional,2 Bath,ALL,Cary,27513
49,0.45,70000,10/2/85,Oct-85,1985,1963,1963,1296,One Story,Ranch,2 Bath,E,Raleigh,27604
51,0.53,118000,8/25/15,15-Aug,2015,1958,1958,1560,One Story,Conventional,2 Bath,E,Knightdale,27545
52,0.13,202000,9/30/16,16-Sep,2016,1948,1948,1671,Two Story,Conventional,2 Bath,WSE,Fuquay Varina,27526
53,0.28,220000,12/16/11,11-Dec,2011,1957,1957,1304,One Story,Ranch,2 Bath,ALL,Raleigh,27604
58,0.19,681500,9/29/17,17-Sep,2017,1929,1929,2316,Other,Conventional,3½ Bath,ALL,Raleigh,27608
60,0.71,1700000,10/31/86,Oct-86,1986,1952,1952,2170,One Story,Conventional,2 Bath,ALL,Raleigh,27609
61,0.48,5000,1/1/74,Jan-74,1974,1997,1997,2179,Other,Conventional,2½ Bath,ALL,Raleigh,27612
62,0.15,350000,8/18/20,20-Aug,2020,1949,1949,1020,One Story,Conventional,2 Bath,ALL,Raleigh,27604
63,0.38,202000,6/10/08,8-Jun,2008,1971,1971,1994,One Story,Split level,2 Bath,ALL,Raleigh,27609
64,0.31,247000,10/25/02,2-Oct,2002,2008,2008,2514,Other,Conventional,2½ Bath,ALL,Raleigh,27605
66,0.6,83500,1/22/92,Jan-92,1992,1950,1950,1457,One Story,Conventional,1 ½ Bath,ALL,Raleigh,27606
67,0.3,160000,11/20/09,9-Nov,2009,1967,1967,1671,One Story,Ranch,2 Bath,ALL,Cary,27511
68,0.39,122000,3/6/18,18-Mar,2018,1970,1970,1050,One Story,Ranch,1 Bath,WE,Garner,27529
69,0.36,81000,3/28/03,3-Mar,2003,1970,1970,976,One Story,Conventional,1 Bath,WE,Raleigh,27610
70,0.72,272000,3/5/21,21-Mar,2021,1971,1971,1971,One Story,Conventional,2½ Bath,WSE,Garner,27529
71,0.6,369000,6/5/13,13-Jun,2013,1973,1973,2492,One Story,Split level,3 Bath,ALL,Cary,27511
72,0.31,71000,4/29/99,Apr-99,1999,1960,1960,975,One Story,Ranch,1 Bath,ALL,Raleigh,27610
73,0.25,335000,5/29/19,19-May,2019,1968,1968,1600,Other,Conventional,2½ Bath,ALL,Raleigh,27609
75,0.48,201500,11/21/03,3-Nov,2003,1962,1962,1852,One Story,Split level,2½ Bath,ALL,Raleigh,27609
77,0.32,163000,4/11/13,13-Apr,2013,1970,1970,1767,One Story,Conventional,2 Bath,ALL,Cary,27511
80,0.13,171000,3/27/03,3-Mar,2003,1915,1915,1391,One Story,Conventional,1 Bath,ALL,Raleigh,27605
81,0.3,25000,7/2/21,21-Jul,2021,1969,1969,2015,One Story,Split level,2½ Bath,E,Cary,27511
82,0.37,53500,12/5/94,Dec-94,1994,1960,1960,1009,One Story,Conventional,2 Bath,ALL,Raleigh,27610
83,0.41,1449500,7/26/19,19-Jul,2019,2019,2019,4351,Other,Conventional,3½ Bath,,Raleigh,27608
84,0.27,333000,2/27/13,13-Feb,2013,1964,2016,2408,Other,Conventional,2½ Bath,ALL,Raleigh,27609
